eco,min,max
Clojars,0.0,0.04707792207792208
Meteor,0.0,0.1
Packagist,0.0,0.03485402373679203
Hackage,0.0,0.038227628149435276
Atom,0.015873015873015872,0.16666666666666666
Hex,0.0,0.041666666666666664
Maven,0.019534679543459176,0.0516823495865412
All,0.0,0.04910501152033876
PlatformIO,0.0,0.2
Cargo,0.0,0.07692307692307693
CPAN,0.013043478260869565,0.05970149253731343
Rubygems,0.0,0.05674436377531525
NuGet,0.007407407407407408,0.03943814154511075
Pub,0.0,0.057971014492753624
CRAN,0.0,0.1000971817298348
NPM,0.015444015444015444,0.05314877251241042
Bower,0.0136986301369863,0.0541489095011281
Puppet,0.0,0.125
Go,0.0,0.07692307692307693
Pypi,0.0,0.054889845846595516
CocoaPods,0.0,0.047750956338213954
